kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tahun_ajaran,jumlah_murid,jumlah_guru,ratio,level,indeks pendidikan
32,JAWA BARAT,3204,Bandung,2015,46428,2100,22.10857143,sma,61.75
32,JAWA BARAT,3205,Garut,2015,47270,2208,21.40851449,sma,55.18
32,JAWA BARAT,3206,Tasikmalaya,2015,25189,2413,10.43887277,sma,57.47
32,JAWA BARAT,3207,Ciamis,2015,20259,1092,18.5521978,sma,62.56
32,JAWA BARAT,3208,Kuningan,2015,16997,941,18.06269926,sma,57.42
32,JAWA BARAT,3209,Cirebon,2015,21728,1117,19.45210385,sma,53.82
32,JAWA BARAT,3210,Majalengka,2015,20004,864,23.15277778,sma,55.26
32,JAWA BARAT,3211,Sumedang,2015,14632,778,18.80719794,sma,61.39
32,JAWA BARAT,3212,Indramayu,2015,26205,1159,22.61000863,sma,51.79
32,JAWA BARAT,3213,Subang,2015,15655,1058,14.79678639,sma,53.35
32,JAWA BARAT,3214,Purwakarta,2015,14114,1238,11.4006462,sma,56.26
32,JAWA BARAT,3215,Karawang,2015,18537,1210,15.31983471,sma,55.18
32,JAWA BARAT,3216,Bekasi,2015,40886,1297,31.52351581,sma,62.02
32,JAWA BARAT,3217,Bandung Barat,2015,22221,1154,19.25563258,sma,56.74
32,JAWA BARAT,3218,Pangandaran,2015,9138,574,15.91986063,sma,56.83
32,JAWA BARAT,3271,Kota Bogor,2015,12947,618,20.94983819,sma,68.35
32,JAWA BARAT,3272,Kota Sukabumi,2015,8248,758,10.88126649,sma,67.05
32,JAWA BARAT,3273,Kota Bandung,2015,32287,1334,24.20314843,sma,72.95
32,JAWA BARAT,3274,Kota Cirebon,2015,12925,226,57.19026549,sma,68.47
32,JAWA BARAT,3275,Kota Bekasi,2015,22955,1248,18.39342949,sma,72.8
32,JAWA BARAT,3276,Kota Depok,2015,14282,838,17.04295943,sma,73.31
32,JAWA BARAT,3277,Kota Cimahi,2015,3651,495,7.375757576,sma,74.09
32,JAWA BARAT,3278,Kota Tasikmalaya,2015,14104,855,16.49590643,sma,65.68
32,JAWA BARAT,3279,Kota Banjar,2015,3211,198,16.21717172,sma,62.86
32,JAWA BARAT,3201,Bogor,2016,66121,2933,22.5438118,sma,59.57
32,JAWA BARAT,3202,Sukabumi,2016,31692,1351,23.45817913,sma,56.3
32,JAWA BARAT,3203,Cianjur,2016,30570,1304,23.44325153,sma,55.03
32,JAWA BARAT,3204,Bandung,2016,50712,2226,22.78167116,sma,62.83
32,JAWA BARAT,3205,Garut,2016,15893,879,18.08077361,sma,55.41
32,JAWA BARAT,3206,Tasikmalaya,2016,42540,2096,20.29580153,sma,57.74
32,JAWA BARAT,3207,Ciamis,2016,18977,1116,17.00448029,sma,63.08
